customer_id,snapshot_date,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago
CUST00001,2025-09-30,1,4,0,0,0,2,0,20
CUST00002,2025-09-30,8,31,4,2,3,0,0,0
CUST00003,2025-09-30,1,3,0,0,0,0,0,26
CUST00004,2025-09-30,1,6,0,0,0,0,0,14
CUST00005,2025-09-30,18,95,4,1,1,3,1,9
CUST00006,2025-09-30,2,8,1,0,1,0,0,1
CUST00007,2025-09-30,11,61,3,2,2,10,3,12
CUST00008,2025-09-30,2,11,1,0,0,0,0,16
CUST00009,2025-09-30,11,57,3,3,2,0,0,6
CUST00010,2025-09-30,13,71,3,3,2,6,0,5
CUST00011,2025-09-30,10,34,2,1,0,0,0,0
CUST00012,2025-09-30,3,16,1,1,0,0,0,5
CUST00013,2025-09-30,4,22,1,0,0,2,0,21
CUST00014,2025-09-30,11,57,3,2,2,0,0,17
CUST00015,2025-09-30,6,23,2,0,1,0,0,11
CUST00016,2025-09-30,2,8,1,0,0,4,1,32
CUST00017,2025-09-30,4,23,1,1,0,9,4,47
CUST00018,2025-09-30,3,8,1,0,0,4,2,37
CUST00019,2025-09-30,5,27,2,0,1,3,1,0
CUST00020,2025-09-30,0,0,0,0,0,0,0,60
CUST00021,2025-09-30,3,14,1,1,0,2,0,18
CUST00022,2025-09-30,10,33,5,1,2,4,1,0
CUST00023,2025-09-30,3,15,1,1,1,4,1,7
CUST00024,2025-09-30,13,71,3,2,2,3,0,0
CUST00025,2025-09-30,11,54,2,3,1,6,1,29
CUST00026,2025-09-30,14,55,3,3,0,1,0,26
CUST00027,2025-09-30,11,44,3,2,1,5,2,18
CUST00028,2025-09-30,1,4,1,0,0,3,0,19
CUST00029,2025-09-30,1,6,0,0,0,0,0,0
CUST00030,2025-09-30,11,31,2,3,1,0,0,3
CUST00031,2025-09-30,6,35,3,0,1,0,0,9
CUST00032,2025-09-30,12,70,4,2,1,0,0,13
CUST00033,2025-09-30,7,41,2,2,1,3,0,7
CUST00034,2025-09-30,7,30,4,1,2,8,2,0
CUST00035,2025-09-30,6,25,2,1,1,8,0,25
CUST00036,2025-09-30,0,0,0,0,0,0,0,14
CUST00037,2025-09-30,5,28,2,0,0,3,0,28
CUST00038,2025-09-30,5,23,1,0,0,5,0,14
CUST00039,2025-09-30,6,20,1,1,0,3,1,4
CUST00040,2025-09-30,1,4,0,0,0,1,0,42
CUST00041,2025-09-30,5,19,1,1,0,4,2,22
CUST00042,2025-09-30,3,13,1,0,0,7,2,14
CUST00043,2025-09-30,3,16,0,0,0,0,0,0
CUST00044,2025-09-30,6,27,2,1,1,4,2,10
CUST00045,2025-09-30,6,16,1,1,0,3,1,10
CUST00046,2025-09-30,7,31,4,2,1,10,0,29
CUST00047,2025-09-30,2,9,1,0,0,3,1,36
CUST00048,2025-09-30,12,38,2,2,1,0,0,12
CUST00049,2025-09-30,4,13,1,1,1,3,1,0
CUST00050,2025-09-30,3,12,1,1,0,3,1,0
CUST00051,2025-09-30,6,32,2,1,1,8,2,35
CUST00052,2025-09-30,7,34,2,1,1,0,0,8
CUST00053,2025-09-30,9,29,2,2,1,3,1,5
CUST00054,2025-09-30,3,12,1,0,0,0,0,0
CUST00055,2025-09-30,6,32,2,1,1,7,2,0
CUST00056,2025-09-30,3,15,1,1,1,0,0,0
CUST00057,2025-09-30,7,21,1,0,0,9,1,29
CUST00058,2025-09-30,2,6,1,0,0,8,4,6
CUST00059,2025-09-30,3,11,1,0,0,0,0,2
CUST00060,2025-09-30,5,26,2,1,0,0,0,20
CUST00061,2025-09-30,4,19,2,0,1,2,1,15
CUST00062,2025-09-30,9,30,3,2,1,7,1,0
CUST00063,2025-09-30,0,0,0,0,0,3,0,24
CUST00064,2025-09-30,8,42,4,1,3,0,0,0
CUST00065,2025-09-30,3,18,0,1,0,4,2,0
CUST00066,2025-09-30,11,35,2,2,1,5,1,60
CUST00067,2025-09-30,1,3,0,0,0,4,2,5
CUST00068,2025-09-30,5,18,0,1,0,3,1,60
CUST00069,2025-09-30,9,48,1,2,0,7,1,0
CUST00070,2025-09-30,1,4,0,0,0,1,0,18
CUST00071,2025-09-30,1,3,0,0,0,6,2,12
CUST00072,2025-09-30,7,26,3,2,2,5,1,26
CUST00073,2025-09-30,7,35,1,0,0,4,1,0
CUST00074,2025-09-30,14,51,3,2,1,2,1,22
CUST00075,2025-09-30,10,43,2,1,1,0,0,13
CUST00076,2025-09-30,17,78,7,5,4,0,0,8
CUST00077,2025-09-30,0,0,0,0,0,0,0,20
CUST00078,2025-09-30,5,13,1,1,0,0,0,38
CUST00079,2025-09-30,2,8,0,0,0,0,0,31
CUST00080,2025-09-30,11,31,4,1,2,0,0,3
CUST00081,2025-09-30,12,63,4,2,1,0,0,0
CUST00082,2025-09-30,7,35,2,1,1,7,3,44
CUST00083,2025-09-30,9,43,2,1,1,0,0,17
CUST00084,2025-09-30,11,60,5,1,2,3,1,34
CUST00085,2025-09-30,8,34,0,1,0,0,0,0
CUST00086,2025-09-30,7,39,2,1,1,5,2,0
CUST00087,2025-09-30,1,4,0,0,0,0,0,15
CUST00088,2025-09-30,9,29,2,1,1,1,0,18
CUST00089,2025-09-30,12,40,1,2,0,6,3,31
CUST00090,2025-09-30,5,25,3,1,1,0,0,36
CUST00091,2025-09-30,9,51,5,2,2,0,0,11
CUST00092,2025-09-30,1,5,0,0,0,0,0,3
CUST00093,2025-09-30,16,67,7,3,3,9,4,21
CUST00094,2025-09-30,6,20,2,1,1,4,1,60
CUST00095,2025-09-30,10,57,1,2,1,2,1,7
CUST00096,2025-09-30,12,67,2,2,1,0,0,15
CUST00097,2025-09-30,0,0,0,0,0,0,0,0
